time, distance,       lat,       lng, altitude
59,364.5,50.842853,-1.182159,-1.6
60,371,50.842849,-1.182251,-1.4
61,377.2,50.842845,-1.18234,-1.4
62,383.3,50.842838,-1.182425,-1.2
63,389.5,50.842833,-1.182513,-1.2
64,395.5,50.842826,-1.182598,-1
65,401.2,50.842822,-1.182678,-1
66,406.3,50.842815,-1.18275,-0.8
67,410.4,50.842811,-1.182808,-0.8
68,413.7,50.842803,-1.182853,-0.6
69,416.1,50.842792,-1.182882,-0.4
70,417.6,50.842785,-1.1829,-0.2
71,418.3,50.842785,-1.18291,-0.2
72,419,50.842785,-1.182921,0
75,419.2,50.842788,-1.18295,0
76,420.9,50.842783,-1.182971,0.2
77,422.8,50.842771,-1.18299,0.2
78,424.4,50.842757,-1.183002,0.4
79,425.9,50.84275,-1.18302,0.4
80,427.7,50.842748,-1.183045,0.6
81,430.7,50.842757,-1.183084,0.6
82,435,50.842781,-1.183132,0.6
83,440.2,50.842812,-1.183187,0.6
84,445.8,50.842841,-1.183254,0.4
85,452.1,50.842863,-1.183334,0.2
86,458.6,50.842876,-1.183425,0
87,465.6,50.842876,-1.183524,-0.2
88,472.7,50.842876,-1.183624,-0.2
89,479.7,50.842872,-1.183723,0
90,486.3,50.842869,-1.183817,0
91,492.7,50.842875,-1.183907,0
92,499.1,50.842892,-1.183994,0
93,505.8,50.84292,-1.184079,0.2
94,512.8,50.84296,-1.184153,0.2
95,519.7,50.84301,-1.184212,0.4
96,527,50.843068,-1.184254,0.6
97,534.4,50.843135,-1.184267,0.8
98,542.2,50.843206,-1.184254,0.8
99,550.2,50.843271,-1.18422,0.8
100,558.4,50.843339,-1.18417,0.8
101,567.6,50.843414,-1.184114,0.6
102,577.1,50.843494,-1.184059,0.4
103,586.7,50.843571,-1.184006,0.2
104,597,50.843656,-1.183951,0.2
105,607.3,50.843743,-1.183898,0.2
106,617.7,50.843831,-1.183849,0.2
107,627.9,50.843922,-1.183807,0.4
108,637.8,50.844008,-1.183773,0.4
109,647.7,50.844093,-1.183741,0.4
110,657.5,50.844181,-1.183713,0.6
111,666.9,50.844264,-1.18369,0.8
112,676.5,50.844349,-1.183677,1
113,685.3,50.844427,-1.183694,1.4
