,distance,altitude_smoothed,label
0,364.5,,nan
1,371,,nan
2,377.2,,nan
3,383.3,,nan
4,389.5,,nan
5,395.5,,nan
6,401.2,,nan
7,406.3,,nan
8,410.4,,nan
9,413.7,,nan
10,416.1,,nan
11,417.6,,nan
12,418.3,,nan
13,419,,nan
14,419.2,,nan
15,420.9,,nan
16,422.8,,nan
17,424.4,,nan
18,425.9,,nan
19,427.7,,nan
20,430.7,,nan
21,435,,nan
22,440.2,,nan
23,445.8,,nan
24,452.1,,nan
25,458.6,,nan
26,465.6,,nan
27,472.7,,nan
28,479.7,,nan
29,486.3,,nan
30,492.7,,nan
31,499.1,,nan
32,505.8,,nan
33,512.8,,nan
34,519.7,,nan
35,527,,nan
36,534.4,,nan
37,542.2,,nan
38,550.2,,nan
39,558.4,,nan
40,567.6,,nan
41,577.1,,nan
42,586.7,,nan
43,597,,nan
44,607.3,,nan
45,617.7,,nan
46,627.9,,nan
47,637.8,,nan
48,647.7,,nan
49,657.5,,nan
50,666.9,,nan
51,676.5,,nan
52,685.3,,nan
53,694,,nan
54,702.7,,nan
55,711.6,,nan
56,720.4,,nan
57,729.1,,nan
58,737.9,,nan
59,746.7,,nan
60,755.2,,nan
61,763.8,,nan
62,772.2,,nan
63,780.4,,nan
64,788.9,,nan
65,797.4,,nan
66,805.9,,nan
67,814.2,,nan
68,822.8,,nan
69,831.2,,nan
70,839.6,,nan
71,847.8,,nan
72,856.3,,nan
73,864.8,,nan
74,872.9,,nan
75,882.1,,nan
76,890.7,,nan
77,899.3,,nan
78,907.9,,nan
79,916.4,,nan
80,925,,nan
81,933.7,,nan
82,942,,nan
83,950.2,,nan
84,958.4,,nan
85,966.1,,nan
86,973.9,,nan
87,981.7,,nan
88,989.2,,nan
89,996.2,,nan
90,1002.2,1.95333333333333,easy
91,1006.8,1.98666666666666,easy
92,1009.6,2.02,easy
93,1009.9,2.05333333333333,easy
94,1012.4,2.08666666666667,easy
95,1014.8,2.12111111111111,easy
96,1016.9,2.15666666666666,easy
97,1018.8,2.19333333333333,easy
98,1019.4,2.23,easy
99,1020.1,2.26777777777778,easy
100,1020.8,2.30555555555555,easy
101,1021.4,2.34222222222222,easy
102,1022.1,2.37888888888889,easy
103,1022.8,2.41666666666667,easy
104,1023.4,2.45333333333333,easy
105,1024.1,2.49,easy
106,1028.4,2.52555555555555,easy
107,1033.6,2.56111111111111,easy
108,1038.9,2.59555555555555,easy
109,1044.7,2.63,easy
110,1050.5,2.66333333333333,easy
111,1057,2.69666666666667,easy
112,1063.8,2.73111111111111,easy
113,1071.2,2.76555555555556,easy
114,1078.9,2.80222222222222,easy
115,1086.9,2.84,easy
116,1094.9,2.87888888888889,easy
117,1102.9,2.92,easy
118,1111,2.96111111111111,easy
119,1119.1,3.00222222222222,easy
120,1127.3,3.04333333333333,easy
121,1135.8,3.08555555555556,easy
122,1144.3,3.12777777777778,easy
123,1152.6,3.16888888888889,easy
124,1160.9,3.21,easy
125,1169.3,3.25,easy
126,1177.4,3.28888888888889,easy
127,1185.5,3.32666666666667,easy
128,1194,3.36555555555556,easy
129,1202.5,3.40444444444444,easy
130,1211.1,3.44333333333333,easy
131,1219.6,3.48555555555556,easy
132,1228.3,3.52888888888889,easy
133,1237,3.57333333333333,easy
134,1245.7,3.61777777777778,easy
135,1254.8,3.66222222222222,easy
136,1264.2,3.70666666666667,easy
137,1274.1,3.75,easy
138,1284.1,3.79333333333334,easy
139,1294,3.83666666666667,easy
140,1303.6,3.87888888888889,easy
141,1313.7,3.92,easy
142,1323.5,3.95888888888889,easy
143,1333.1,3.99555555555556,easy
144,1342.3,4.03,easy
145,1351.7,4.06333333333334,easy
146,1360.9,4.09333333333334,easy
147,1370.2,4.12111111111111,easy
148,1379.4,4.14777777777778,easy
149,1388.6,4.17333333333334,easy
150,1397.8,4.19777777777778,easy
151,1407.2,4.22111111111111,easy
152,1416.4,4.24222222222223,easy
153,1425.3,4.26111111111111,easy
154,1434.4,4.27555555555556,easy
155,1443.2,4.28888888888889,easy
156,1451.7,4.30111111111111,easy
157,1460.6,4.31111111111111,easy
158,1469.4,4.32,easy
159,1477.8,4.32888888888889,easy
160,1486.7,4.33666666666667,easy
161,1495.4,4.34333333333334,easy
162,1504,4.34888888888889,easy
163,1512.8,4.35333333333334,easy
164,1521.3,4.35555555555556,easy
165,1530.2,4.35666666666667,easy
166,1539.2,4.35777777777778,easy
167,1548,4.35777777777778,easy
168,1556.7,4.35666666666667,easy
169,1565.4,4.35555555555556,easy
170,1574.3,4.35444444444445,easy
171,1583.1,4.35333333333334,easy
172,1592,4.35222222222223,easy
173,1600.9,4.35333333333334,easy
174,1609.8,4.35444444444445,easy
175,1618.7,4.35777777777778,easy
176,1627.7,4.36333333333334,easy
177,1636.6,4.37111111111112,easy
178,1645.4,4.38,easy
179,1654.1,4.39000000000001,easy
180,1662.9,4.40111111111112,easy
181,1671.9,4.41444444444445,easy
182,1680.7,4.43111111111112,easy
183,1689.5,4.44888888888889,easy
184,1698.3,4.46777777777778,easy
185,1706.9,4.48888888888889,easy
186,1715.6,4.51333333333334,easy
187,1724.2,4.54,easy
188,1733.4,4.56888888888889,easy
189,1742.2,4.59888888888889,easy
190,1751.1,4.63111111111111,easy
191,1760.3,4.66555555555556,easy
192,1769.4,4.70111111111111,easy
193,1778.7,4.73888888888889,easy
194,1787.9,4.77777777777778,easy
195,1797.3,4.81777777777778,easy
196,1806.4,4.86,easy
197,1815.7,4.90333333333333,easy
198,1824.9,4.94888888888889,easy
199,1833.9,4.99666666666667,easy
200,1842.8,5.04777777777778,easy
201,1851.9,5.10111111111111,easy
202,1860.5,5.15555555555556,easy
203,1869,5.21111111111111,easy
204,1876.8,5.26666666666667,easy
205,1884.3,5.32444444444444,easy
206,1891.3,5.38444444444445,easy
207,1897.9,5.44444444444444,easy
208,1903.6,5.50444444444445,easy
209,1909.2,5.56555555555556,easy
210,1915,5.62777777777778,easy
211,1920.9,5.69111111111111,easy
212,1926.7,5.75444444444444,easy
213,1932.6,5.81777777777778,easy
214,1937.7,5.88222222222222,easy
215,1942.4,5.94777777777778,easy
216,1945.7,6.01555555555556,easy
217,1947.9,6.08333333333333,easy
218,1950.4,6.15222222222222,easy
219,1951.6,6.22222222222222,easy
220,1951.8,6.29333333333333,easy
221,1953.8,6.36666666666667,easy
222,1956.2,6.44,easy
223,1958.4,6.51444444444444,easy
224,1960.6,6.59,easy
225,1962.9,6.66666666666667,easy
226,1965.3,6.74555555555556,easy
227,1967.8,6.82555555555555,easy
228,1970.8,6.90666666666667,easy
229,1973.9,6.99,easy
230,1977.6,7.07444444444444,easy
231,1982.5,7.16111111111111,easy
232,1988.6,7.24666666666667,easy
233,1995.2,7.33333333333333,easy
234,2002,7.42111111111111,easy
235,2009,7.51,easy
236,2016.2,7.6,easy
237,2023.6,7.68888888888889,easy
238,2031,7.77777777777778,easy
239,2039.1,7.86666666666667,easy
240,2046.9,7.95444444444445,easy
241,2055.8,8.04111111111111,easy
242,2064.6,8.12666666666667,easy
243,2073.6,8.21111111111111,easy
244,2082.9,8.29333333333334,easy
245,2092.2,8.37333333333334,easy
246,2101.4,8.45111111111111,easy
247,2111,8.52666666666667,easy
248,2120.6,8.6,easy
249,2130,8.67222222222222,easy
250,2139.6,8.74333333333333,easy
251,2149,8.81333333333333,easy
252,2158.2,8.88222222222222,easy
253,2167.7,8.95,easy
254,2177.1,9.01666666666667,easy
255,2186.3,9.08222222222222,easy
256,2195.5,9.14555555555556,easy
257,2204.6,9.20777777777778,easy
258,2213.8,9.26888888888889,easy
259,2222.8,9.33,easy
260,2231.8,9.39111111111111,easy
261,2240.6,9.45111111111111,easy
262,2249.3,9.51222222222222,easy
263,2257.8,9.57333333333333,easy
264,2266.4,9.63555555555556,easy
265,2274.7,9.69888888888889,easy
266,2282.9,9.76333333333333,easy
267,2290.9,9.82777777777778,easy
268,2298.8,9.89222222222222,easy
269,2306.4,9.95777777777778,easy
270,2314.6,10.0244444444444,easy
271,2322.5,10.0911111111111,easy
272,2330.4,10.1577777777778,easy
273,2338.3,10.2255555555556,easy
274,2346.1,10.2911111111111,easy
275,2354.2,10.3555555555556,easy
276,2362.5,10.4177777777778,easy
277,2371,10.4788888888889,easy
278,2379.4,10.5388888888889,easy
279,2387.9,10.5988888888889,easy
280,2396.2,10.6588888888889,easy
281,2404.5,10.72,easy
282,2412.6,10.7811111111111,easy
283,2420.5,10.8422222222222,easy
284,2428.4,10.9055555555556,easy
285,2436.4,10.97,easy
286,2444.2,11.0344444444444,easy
287,2451.9,11.1011111111111,easy
288,2459.6,11.1688888888889,easy
289,2467.4,11.2388888888889,easy
290,2475.1,11.3088888888889,easy
291,2482.9,11.3811111111111,easy
292,2490.6,11.4533333333333,easy
293,2498.3,11.5277777777778,easy
294,2506,11.6022222222222,easy
295,2513.6,11.6788888888889,easy
296,2521.1,11.7555555555556,easy
297,2528.7,11.8333333333333,easy
298,2536.1,11.9122222222222,easy
299,2543.9,11.9911111111111,easy
300,2551.1,12.0711111111111,easy
301,2558.9,12.1511111111111,easy
302,2566.6,12.2333333333333,easy
303,2574.1,12.3177777777778,easy
304,2581.4,12.4033333333333,easy
305,2588.8,12.49,easy
306,2596.3,12.5788888888889,easy
307,2603.9,12.6688888888889,easy
308,2611.4,12.7588888888889,easy
309,2618.6,12.85,easy
310,2625.9,12.9422222222222,easy
311,2633.3,13.0333333333333,easy
312,2640.5,13.1255555555556,easy
313,2648.3,13.2188888888889,easy
314,2655.8,13.3122222222222,easy
315,2663.3,13.4066666666667,easy
316,2670.7,13.5011111111111,easy
317,2678.3,13.5966666666667,easy
318,2685.9,13.6922222222222,easy
319,2693.4,13.7888888888889,easy
320,2701,13.8866666666667,easy
321,2708.8,13.9855555555556,easy
322,2716.5,14.0866666666667,easy
323,2724.2,14.1888888888889,easy
324,2732.1,14.2933333333333,easy
325,2740.6,14.3988888888889,easy
326,2749.1,14.5077777777778,easy
327,2757.7,14.6188888888889,easy
328,2766.4,14.7311111111111,easy
329,2775.1,14.8433333333333,easy
330,2783.7,14.9566666666667,easy
331,2792.5,15.0711111111111,easy
332,2801.2,15.1855555555556,easy
333,2809.9,15.3011111111111,easy
334,2818.8,15.42,easy
335,2828.1,15.54,easy
336,2837.2,15.66,easy
337,2846.5,15.7811111111111,easy
338,2855.7,15.9033333333333,easy
339,2864.9,16.0255555555556,easy
340,2874.1,16.1477777777778,easy
341,2883.3,16.2711111111111,easy
342,2892.6,16.3955555555556,easy
343,2901.8,16.52,easy
344,2910.9,16.6455555555556,easy
345,2920.1,16.7711111111111,easy
346,2929.1,16.8977777777778,easy
347,2938.1,17.0255555555556,easy
348,2947.1,17.1544444444445,easy
349,2956.2,17.2822222222222,easy
350,2965,17.41,easy
351,2973.6,17.5388888888889,easy
352,2982.2,17.6688888888889,easy
353,2990.6,17.7977777777778,easy
354,2998.6,17.9266666666667,easy
355,3006.6,18.0544444444445,easy
356,3014.4,18.18,easy
357,3022.2,18.3044444444445,easy
358,3030,18.4288888888889,easy
359,3037.6,18.5522222222222,easy
360,3045.4,18.6755555555556,easy
361,3053.3,18.7966666666667,easy
362,3061.1,18.9144444444445,easy
363,3069.1,19.03,easy
364,3077,19.1433333333333,easy
365,3085.2,19.2544444444445,easy
366,3093.5,19.3611111111111,easy
367,3101.6,19.4644444444445,easy
368,3109.4,19.5633333333333,easy
369,3117.1,19.66,easy
370,3124.7,19.7522222222222,easy
371,3132,19.84,easy
372,3139.5,19.9255555555556,easy
373,3147.3,20.0088888888889,easy
374,3155.2,20.0911111111111,easy
375,3163.6,20.1733333333333,easy
376,3172.1,20.2566666666667,easy
377,3180.8,20.3411111111111,easy
378,3189.3,20.4266666666667,easy
379,3197.4,20.5144444444445,easy
380,3205.4,20.6022222222222,easy
381,3212.9,20.6911111111111,easy
382,3220.1,20.7811111111111,easy
383,3227.1,20.8722222222222,easy
384,3234,20.9644444444445,easy
385,3240.7,21.0566666666667,easy
386,3247.2,21.1488888888889,easy
387,3253.8,21.2433333333333,easy
388,3260.1,21.3388888888889,easy
389,3266.2,21.4355555555556,easy
390,3272.4,21.5322222222222,easy
391,3278.4,21.6288888888889,easy
392,3284.4,21.7255555555556,easy
393,3290.4,21.8233333333333,easy
394,3296.3,21.9211111111111,easy
395,3302.2,22.0177777777778,easy
396,3307.9,22.1133333333333,easy
397,3313.7,22.2077777777778,easy
398,3319.3,22.3011111111111,easy
399,3325,22.3922222222222,easy
400,3330.4,22.4822222222222,easy
401,3335.8,22.57,easy
402,3340.9,22.6566666666667,easy
403,3346.2,22.7411111111111,easy
404,3351.4,22.8233333333333,easy
405,3356.7,22.9033333333333,easy
406,3361.9,22.9811111111111,easy
407,3367,23.0588888888889,easy
408,3372.1,23.1366666666667,easy
409,3376.6,23.2144444444445,easy
410,3380.9,23.2933333333333,easy
411,3385,23.3711111111111,easy
412,3389.1,23.45,easy
413,3393,23.5288888888889,easy
414,3396.7,23.6088888888889,easy
415,3400.6,23.6888888888889,easy
416,3405.2,23.7688888888889,easy
417,3410.3,23.85,easy
418,3416.1,23.9311111111111,easy
419,3422.2,24.0144444444444,easy
420,3428.8,24.0988888888889,easy
421,3436.1,24.1844444444444,easy
422,3444.4,24.2711111111111,easy
423,3453.1,24.3588888888889,easy
424,3461.7,24.4477777777778,easy
425,3470.2,24.5377777777778,easy
426,3478.7,24.63,easy
427,3487.2,24.7233333333333,easy
428,3495.8,24.8188888888889,easy
429,3504.9,24.9155555555556,easy
430,3514.3,25.0133333333333,easy
431,3524.2,25.1133333333333,easy
